topic,los,exam_year,tags,difficulty,stem,option_a,option_b,option_c,answer,explanation
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Easy,A stock price moves from $100 to $115 with no dividends. The holding period return is closest to:,13%,15%,18%,B,HPR = (P1 - P0) / P0 = 15%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Medium,A stock price moves from $50 to $44 with no dividends. The holding period return is closest to:,-14%,-12%,-9%,B,HPR = (P1 - P0) / P0 = -12%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Easy,A stock price moves from $200 to $230 with no dividends. The holding period return is closest to:,13%,15%,18%,B,HPR = (P1 - P0) / P0 = 15%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Medium,A stock price moves from $80 to $92 with no dividends. The holding period return is closest to:,13%,15%,18%,B,HPR = (P1 - P0) / P0 = 15%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Easy,A stock price moves from $120 to $108 with no dividends. The holding period return is closest to:,-12%,-10%,-7%,B,HPR = (P1 - P0) / P0 = -10%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Medium,A stock price moves from $250 to $275 with no dividends. The holding period return is closest to:,8%,10%,13%,B,HPR = (P1 - P0) / P0 = 10%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Easy,A stock price moves from $90 to $99 with no dividends. The holding period return is closest to:,8%,10%,13%,B,HPR = (P1 - P0) / P0 = 10%.
Quantitative Methods,Reading 1,2026,quantitative-methods|practice-pack,Medium,A stock price moves from $300 to $345 with no dividends. The holding period return is closest to:,13%,15%,18%,B,HPR = (P1 - P0) / P0 = 15%.
Quantitative Methods,Reading 2,2026,quantitative-methods|practice-pack,Easy,"An investment of $1,000 grows to $1,158 in 3 years with annual compounding. The annual rate of return is closest to:",4%,5%,7%,B,"Using FV = PV × (1 + r)^n, the implied rate is approximately 5%."
Quantitative Methods,Reading 2,2026,quantitative-methods|practice-pack,Medium,"An investment of $2,000 grows to $2,525 in 4 years with annual compounding. The annual rate of return is closest to:",5%,6%,8%,B,"Using FV = PV × (1 + r)^n, the implied rate is approximately 6%."
Quantitative Methods,Reading 2,2026,quantitative-methods|practice-pack,Medium,An investment of $500 grows to $583 in 2 years with annual compounding. The annual rate of return is closest to:,7%,8%,10%,B,"Using FV = PV × (1 + r)^n, the implied rate is approximately 8%."
Quantitative Methods,Reading 2,2026,quantitative-methods|practice-pack,Easy,"An investment of $1,500 grows to $1,825 in 5 years with annual compounding. The annual rate of return is closest to:",3%,4%,6%,B,"Using FV = PV × (1 + r)^n, the implied rate is approximately 4%."
Quantitative Methods,Reading 2,2026,quantitative-methods|practice-pack,Medium,"An investment of $800 grows to $1,065 in 3 years with annual compounding. The annual rate of return is closest to:",9%,10%,12%,B,"Using FV = PV × (1 + r)^n, the implied rate is approximately 10%."
Quantitative Methods,Reading 2,2026,quantitative-methods|practice-pack,Medium,"An investment of $2,500 grows to $3,752 in 6 years with annual compounding. The annual rate of return is closest to:",6%,7%,9%,B,"Using FV = PV × (1 + r)^n, the implied rate is approximately 7%."
