topic,los,exam_year,tags,difficulty,stem,option_a,option_b,option_c,answer,explanation
Ethics,II.A,2026,ethics|material-nonpublic,Hard,"Material nonpublic information (MNPI) should not be used to trade. Which scenario most likely involves MNPI?",Publicly released earnings from yesterday's press release.,Undisclosed pending merger learned from a company officer.,Analyst consensus estimate published by a data vendor.,B,Non-public merger information from an insider is classic MNPI.
Economics,EC.4,2026,fiscal-policy,Medium,"Expansionary fiscal policy through increased government spending most directly affects:",Aggregate demand in the short run.,Long-run productive capacity only.,The neutral rate of interest permanently.,A,Government spending is a component of AD and can raise short-run demand.
Corporate Issuers,CI.5,2026,working-capital,Easy,"Net working capital is best calculated as:",Current assets minus current liabilities.,Total assets minus total liabilities.,Cash plus inventory only.,A,NWC measures short-term operating liquidity.
Equity Investments,EQ.4,2026,indexes,Medium,"A float-adjusted market-cap index most likely:",Overweights illiquid closely held shares.,Excludes shares not available to public investors.,Uses equal weight for every constituent.,B,Float adjustment removes non-publicly available shares from weighting.
Fixed Income,FI.6,2026,yield-spread,Hard,"The G-spread measures the yield spread of a bond relative to:",A government benchmark security of similar maturity.,The swap curve only.,The issuer's stock price.,A,G-spread compares bond yield to a government benchmark.
Derivatives,DR.4,2026,options|strategies,Medium,"A protective put strategy (long asset + long put) is most similar to:",A long call position in payoff shape at low prices.,A short futures position with unlimited upside.,A covered call strategy.,A,Protective puts limit downside while retaining upside like a long call at low prices regionally.
Alternative Investments,AI.4,2026,commodities,Easy,"Commodity investments may provide portfolio benefits primarily through:",Perfect correlation with equities.,Potential inflation hedging and diversification.,Guaranteed positive returns.,B,Commodities can diversify and hedge inflation but are not guaranteed winners.
Portfolio Management,PM.5,2026,rebalancing,Medium,"Calendar rebalancing on a fixed schedule may:",Always minimize transaction costs.,Trigger trades even when weights drift slightly.,Eliminate the need for an investment policy statement.,B,Calendar rules trade on dates regardless of drift magnitude.
Quantitative Methods,QM.6,2026,sampling,Easy,"Simple random sampling ensures each element in the population has:",Equal probability of selection.,Selection only from the largest observations.,Zero probability if variance is high.,A,Simple random sampling gives equal selection probability to all members.
FSA,FSA.8,2026,depreciation,Medium,"Under straight-line depreciation, annual expense is:",(Cost - salvage value) / useful life.,(Cost) × market interest rate.,Salvage value divided by useful life only.,A,Straight-line spreads depreciable amount evenly over useful life.
