topic,los,exam_year,tags,difficulty,stem,option_a,option_b,option_c,answer,explanation
Ethics,I.C,2026,ethics|duties,Medium,"Under Standard III(A) Loyalty, Prudence, and Care, members managing pension assets must place client interests first. Which action is most appropriate?",Invest client assets in the manager's own startup without disclosure.,Select the lowest-fee share class suitable for the mandate after due diligence.,Route trades through a broker offering personal travel benefits.,B,Members must act with loyalty and prudence; fee-minimizing suitable share classes align with client duty.
Economics,EC.2,2026,supply-demand|elasticity,Easy,"If demand for a good is highly price elastic, a price increase will most likely:",Increase total revenue.,Decrease total revenue.,Leave total revenue unchanged.,B,When demand is elastic quantity falls proportionally more than price rises so revenue declines.
Corporate Issuers,CI.3,2026,capital-budgeting,Medium,"The internal rate of return (IRR) is least reliable when:",Cash flows change sign more than once.,The project has a conventional cash outflow followed by inflows.,NPV is positive at the cost of capital.,A,Non-conventional cash flows can produce multiple IRRs making the rule ambiguous.
Equity Investments,EQ.2,2026,markets|orders,Easy,"A market order guarantees execution but not:",Price.,Quantity.,Settlement.,A,Market orders prioritize speed; execution price may differ from the last traded price.
Fixed Income,FI.4,2026,credit-spread,Medium,"All else equal, a widening credit spread most likely indicates:",Lower required return on corporate bonds.,Higher perceived default risk.,Lower macro uncertainty.,B,Wider spreads compensate investors for increased credit risk.
Derivatives,DR.2,2026,swaps,Hard,"In a plain vanilla interest rate swap, the fixed-rate payer typically:",Benefits when floating rates rise sharply.,Pays a known fixed rate and receives a floating rate.,Eliminates all interest rate risk permanently.,B,The fixed payer exchanges fixed cash flows for floating exposure.
Alternative Investments,AI.3,2026,hedge-funds,Medium,"A \"2 and 20\" hedge fund fee structure means:",2% management fee and 20% incentive fee on gains.,20% management fee and 2% incentive fee.,Flat 20% annual fee only.,A,Common hedge fund terms charge management plus performance fees.
Portfolio Management,PM.3,2026,ips,Easy,"An investment policy statement (IPS) most appropriately includes:",Security selection tips for the next quarter.,Return objectives and risk tolerance.,Broker marketing materials.,B,The IPS defines objectives constraints and governance for the portfolio.
Quantitative Methods,QM.5,2026,regression,Medium,"In simple linear regression, the coefficient of determination (R-squared) measures:",The proportion of variance in Y explained by X.,The correlation between error terms.,Whether the relationship is causal.,A,R-squared reflects explanatory power of the independent variable(s).
FSA,FSA.6,2026,inventory|ratios,Hard,"During inflation, a company using FIFO instead of LIFO will most likely report:",Lower ending inventory and lower gross profit.,Higher ending inventory and higher gross profit.,No difference under either method.,B,FIFO leaves older cheaper costs in inventory and assigns recent costs to COGS more slowly than LIFO in inflation.
